Date,Subjectivity,Objectivity,Positive,Negative,Neutral,Open,High,Low,Close,Volume,Adj Close,Month,Quarter,Label
2008-08-08,75.0,25.0,18.75,56.25,25.0,11432.089844,11759.959961,11388.040039,11734.320312,212830000.0,11734.320312,8.0,3.0,0
2008-08-11,83.3333333333,16.6666666667,41.6666666667,41.6666666667,16.6666666667,11729.669922,11867.110352,11675.530273,11782.349609,183190000.0,11782.349609,8.0,3.0,1
2008-08-12,56.25,43.75,18.75,37.5,43.75,11781.700195,11782.349609,11601.519531,11642.469727,173590000.0,11642.469727,8.0,3.0,0
2008-08-13,38.4615384615,61.5384615385,15.3846153846,23.0769230769,61.5384615385,11632.80957,11633.780273,11453.339844,11532.959961,182550000.0,11532.959961,8.0,3.0,0
2008-08-14,45.4545454545,54.5454545455,36.3636363636,9.090909090910001,54.5454545455,11532.070312,11718.280273,11450.889648,11615.929688,159790000.0,11615.929688,8.0,3.0,1
2008-08-15,70.0,30.0,10.0,60.0,30.0,11611.209961,11709.889648,11599.730469,11659.900391,215040000.0,11659.900391,8.0,3.0,1
2008-08-18,100.0,0.0,0.0,100.0,0.0,11659.650391,11690.429688,11434.120117,11479.389648,156290000.0,11479.389648,8.0,3.0,0
2008-08-19,22.2222222222,77.7777777778,22.2222222222,0.0,77.7777777778,11478.089844,11478.169922,11318.5,11348.549805,171580000.0,11348.549805,8.0,3.0,0
2008-08-20,70.0,30.0,10.0,60.0,30.0,11345.94043,11454.150391,11290.580078,11417.429688,144880000.0,11417.429688,8.0,3.0,1
2008-08-21,50.0,50.0,20.0,30.0,50.0,11415.230469,11476.209961,11315.570312,11430.209961,130020000.0,11430.209961,8.0,3.0,1
2008-08-22,50.0,50.0,0.0,50.0,50.0,11426.790039,11632.129883,11426.790039,11628.05957,138790000.0,11628.05957,8.0,3.0,1
2008-08-25,55.5555555556,44.4444444444,22.2222222222,33.3333333333,44.4444444444,11626.19043,11626.269531,11362.629883,11386.25,148610000.0,11386.25,8.0,3.0,0
2008-08-26,66.6666666667,33.3333333333,0.0,66.6666666667,33.3333333333,11383.55957,11436.240234,11340.410156,11412.870117,119800000.0,11412.870117,8.0,3.0,1
2008-08-27,30.7692307692,69.2307692308,30.7692307692,0.0,69.2307692308,11412.459961,11554.459961,11381.769531,11502.509766,120580000.0,11502.509766,8.0,3.0,1
2008-08-28,33.3333333333,66.6666666667,0.0,33.3333333333,66.6666666667,11499.870117,11715.179688,11499.790039,11715.179688,149150000.0,11715.179688,8.0,3.0,1
2008-08-29,27.2727272727,72.72727272729999,18.1818181818,9.090909090910001,72.72727272729999,11713.230469,11713.230469,11543.389648,11543.959961,166910000.0,11543.959961,8.0,3.0,0
2008-09-02,46.6666666667,53.3333333333,0.0,46.6666666667,53.3333333333,11545.629883,11790.169922,11471.900391,11516.919922,177090000.0,11516.919922,9.0,3.0,0
2008-09-03,16.6666666667,83.3333333333,0.0,16.6666666667,83.3333333333,11506.009766,11554.379883,11416.530273,11532.879883,174250000.0,11532.879883,9.0,3.0,1
2008-09-04,40.0,60.0,20.0,20.0,60.0,11532.480469,11532.480469,11176.019531,11188.230469,229200000.0,11188.230469,9.0,3.0,0
2008-09-05,36.3636363636,63.636363636400006,9.090909090910001,27.2727272727,63.636363636400006,11185.629883,11245.150391,11037.849609,11220.959961,198300000.0,11220.959961,9.0,3.0,1
2008-09-08,23.0769230769,76.9230769231,0.0,23.0769230769,76.9230769231,11224.870117,11570.660156,11224.790039,11510.740234,273000000.0,11510.740234,9.0,3.0,1
2008-09-09,53.8461538462,46.1538461538,15.3846153846,38.4615384615,46.1538461538,11514.730469,11577.5,11230.730469,11230.730469,257300000.0,11230.730469,9.0,3.0,0
2008-09-10,33.3333333333,66.6666666667,33.3333333333,0.0,66.6666666667,11233.910156,11380.629883,11215.259766,11268.919922,214260000.0,11268.919922,9.0,3.0,1
2008-09-11,16.6666666667,83.3333333333,0.0,16.6666666667,83.3333333333,11264.44043,11445.679688,11098.669922,11433.709961,247820000.0,11433.709961,9.0,3.0,1
2008-09-12,33.3333333333,66.6666666667,16.6666666667,16.6666666667,66.6666666667,11429.320312,11459.929688,11280.400391,11421.990234,238890000.0,11421.990234,9.0,3.0,0
2008-09-15,50.0,50.0,0.0,50.0,50.0,11416.370117,11416.450195,10917.509766,10917.509766,432970000.0,10917.509766,9.0,3.0,0
2008-09-16,41.6666666667,58.3333333333,8.333333333330001,33.3333333333,58.3333333333,10905.620117,11093.219727,10742.700195,11059.019531,494760000.0,11059.019531,9.0,3.0,1
2008-09-17,20.0,80.0,10.0,10.0,80.0,11056.580078,11057.30957,10595.900391,10609.660156,463200000.0,10609.660156,9.0,3.0,0
2008-09-18,25.0,75.0,16.6666666667,8.333333333330001,75.0,10609.009766,11076.44043,10459.44043,11019.69043,488060000.0,11019.69043,9.0,3.0,1
2008-09-19,50.0,50.0,12.5,37.5,50.0,11027.509766,11483.049805,11026.700195,11388.44043,655110000.0,11388.44043,9.0,3.0,1
2008-09-22,25.0,75.0,0.0,25.0,75.0,11394.419922,11394.580078,10992.200195,11015.69043,213210000.0,11015.69043,9.0,3.0,0
2008-09-23,33.3333333333,66.6666666667,0.0,33.3333333333,66.6666666667,11015.69043,11143.209961,10833.94043,10854.169922,204480000.0,10854.169922,9.0,3.0,0
2008-09-24,30.0,70.0,20.0,10.0,70.0,10850.019531,10928.400391,10753.570312,10825.169922,183630000.0,10825.169922,9.0,3.0,0
2008-09-25,37.5,62.5,25.0,12.5,62.5,10827.169922,11129.19043,10827.009766,11022.05957,218530000.0,11022.05957,9.0,3.0,1
2008-09-26,50.0,50.0,12.5,37.5,50.0,11019.040039,11168.05957,10868.820312,11143.129883,232560000.0,11143.129883,9.0,3.0,1
2008-09-29,18.1818181818,81.8181818182,9.090909090910001,9.090909090910001,81.8181818182,11139.620117,11139.94043,10365.450195,10365.450195,385940000.0,10365.450195,9.0,3.0,0
2008-09-30,57.1428571429,42.8571428571,14.2857142857,42.8571428571,42.8571428571,10371.580078,10868.900391,10371.419922,10850.660156,319770000.0,10850.660156,9.0,3.0,1
2008-10-01,61.111111111099994,38.8888888889,27.7777777778,33.3333333333,38.8888888889,10847.400391,10882.519531,10631.950195,10831.070312,256670000.0,10831.070312,10.0,4.0,0
2008-10-02,37.5,62.5,25.0,12.5,62.5,10825.540039,10825.540039,10439.519531,10482.849609,395330000.0,10482.849609,10.0,4.0,0
2008-10-03,28.5714285714,71.4285714286,14.2857142857,14.2857142857,71.4285714286,10483.959961,10796.259766,10310.25,10325.379883,299690000.0,10325.379883,10.0,4.0,0
2008-10-06,50.0,50.0,37.5,12.5,50.0,10322.519531,10322.759766,9525.320312,9955.5,391460000.0,9955.5,10.0,4.0,0
2008-10-07,20.0,80.0,0.0,20.0,80.0,9955.419922,10124.030273,9436.669922,9447.110352,362520000.0,9447.110352,10.0,4.0,0
2008-10-08,30.7692307692,69.2307692308,0.0,30.7692307692,69.2307692308,9437.230469,9628.070312,9194.780273,9258.099609,479270000.0,9258.099609,10.0,4.0,0
2008-10-09,23.0769230769,76.9230769231,0.0,23.0769230769,76.9230769231,9261.69043,9448.139648,8579.19043,8579.19043,436740000.0,8579.19043,10.0,4.0,0
2008-10-10,19.0476190476,80.95238095239999,9.52380952381,9.52380952381,80.95238095239999,8568.669922,8901.280273,7882.509765999999,8451.19043,674920000.0,8451.19043,10.0,4.0,0
2008-10-13,45.4545454545,54.5454545455,9.090909090910001,36.3636363636,54.5454545455,8462.419922,9427.990234,8462.179688,9387.610352,399290000.0,9387.610352,10.0,4.0,1
2008-10-14,47.058823529399994,52.941176470600006,11.7647058824,35.2941176471,52.941176470600006,9388.969727,9794.370117,9085.429688,9310.990234,412740000.0,9310.990234,10.0,4.0,0
2008-10-15,28.5714285714,71.4285714286,14.2857142857,14.2857142857,71.4285714286,9301.910156,9308.759766,8530.120117,8577.910156,374350000.0,8577.910156,10.0,4.0,0
2008-10-16,77.7777777778,22.2222222222,44.4444444444,33.3333333333,22.2222222222,8577.040039,9013.269531,8197.669922,8979.259766,422450000.0,8979.259766,10.0,4.0,1
2008-10-17,30.0,70.0,0.0,30.0,70.0,8975.349609,9281.120117,8718.25,8852.219727,360600000.0,8852.219727,10.0,4.0,0
2008-10-20,41.176470588200004,58.8235294118,23.529411764699997,17.6470588235,58.8235294118,8852.299805,9266.629883,8852.219727,9265.429688,241400000.0,9265.429688,10.0,4.0,1
2008-10-21,33.3333333333,66.6666666667,22.2222222222,11.1111111111,66.6666666667,9262.799805,9284.549805,9004.269531,9033.660156,231160000.0,9033.660156,10.0,4.0,0
2008-10-22,30.0,70.0,0.0,30.0,70.0,9027.839844,9027.839844,8335.299805,8519.209961,348840000.0,8519.209961,10.0,4.0,0
2008-10-23,58.3333333333,41.6666666667,25.0,33.3333333333,41.6666666667,8519.769531,8795.990234,8243.549805,8691.25,340740000.0,8691.25,10.0,4.0,1
2008-10-24,66.6666666667,33.3333333333,22.2222222222,44.4444444444,33.3333333333,8683.209961,8683.209961,8187.47998,8378.950195,335680000.0,8378.950195,10.0,4.0,0
2008-10-27,54.5454545455,45.4545454545,9.090909090910001,45.4545454545,45.4545454545,8375.919922,8599.099609,8143.589844,8175.77002,281180000.0,8175.77002,10.0,4.0,0
2008-10-28,55.5555555556,44.4444444444,33.3333333333,22.2222222222,44.4444444444,8178.720215,9082.080078,8174.72998,9065.120117,372160000.0,9065.120117,10.0,4.0,1
2008-10-29,35.7142857143,64.2857142857,7.1428571428600005,28.5714285714,64.2857142857,9062.330078,9363.320312,8890.290039,8990.959961,316230000.0,8990.959961,10.0,4.0,0
2008-10-30,46.1538461538,53.8461538462,15.3846153846,30.7692307692,53.8461538462,9004.660156,9266.469727,8976.870117,9180.69043,267210000.0,9180.69043,10.0,4.0,1
2008-10-31,50.0,50.0,25.0,25.0,50.0,9179.089844,9454.360352,9119.200195,9325.009766,310950000.0,9325.009766,10.0,4.0,1
2008-11-03,44.4444444444,55.5555555556,11.1111111111,33.3333333333,55.5555555556,9326.040039,9410.549805,9255.480469,9319.830078,180970000.0,9319.830078,11.0,4.0,0
2008-11-04,41.176470588200004,58.8235294118,29.4117647059,11.7647058824,58.8235294118,9323.889648,9653.950195,9323.889648,9625.280273,254930000.0,9625.280273,11.0,4.0,1
2008-11-05,23.0769230769,76.9230769231,15.3846153846,7.692307692310001,76.9230769231,9616.599609,9616.599609,9111.469727,9139.269531,264640000.0,9139.269531,11.0,4.0,0
2008-11-06,35.7142857143,64.2857142857,7.1428571428600005,28.5714285714,64.2857142857,9134.009766,9155.44043,8637.169922,8695.790039,344350000.0,8695.790039,11.0,4.0,0
2008-11-07,9.090909090910001,90.9090909091,9.090909090910001,0.0,90.9090909091,8696.030273,8961.570312,8696.030273,8943.80957,246300000.0,8943.80957,11.0,4.0,1
2008-11-10,63.636363636400006,36.3636363636,45.4545454545,18.1818181818,36.3636363636,8946.599609,9159.580078,8760.459961,8870.540039,221230000.0,8870.540039,11.0,4.0,0
2008-11-11,16.6666666667,83.3333333333,0.0,16.6666666667,83.3333333333,8864.320312,8867.910156,8560.709961,8693.959961,257270000.0,8693.959961,11.0,4.0,0
2008-11-12,60.0,40.0,20.0,40.0,40.0,8684.519531,8684.599609,8265.290039,8282.660156,314660000.0,8282.660156,11.0,4.0,0
2008-11-13,57.1428571429,42.8571428571,21.428571428599998,35.7142857143,42.8571428571,8281.139648,8876.589844,7965.419922,8835.25,476600000.0,8835.25,11.0,4.0,1
2008-11-14,50.0,50.0,10.0,40.0,50.0,8822.19043,8923.179688,8469.990234,8497.30957,304370000.0,8497.30957,11.0,4.0,0
2008-11-17,36.3636363636,63.636363636400006,18.1818181818,18.1818181818,63.636363636400006,8494.839844,8571.299805,8246.889648,8273.580078,278220000.0,8273.580078,11.0,4.0,0
2008-11-18,22.2222222222,77.7777777778,0.0,22.2222222222,77.7777777778,8273.339844,8477.950195,8105.439941,8424.75,366390000.0,8424.75,11.0,4.0,1
2008-11-19,50.0,50.0,50.0,0.0,50.0,8420.69043,8504.639648,7987.080078,7997.279785,350470000.0,7997.279785,11.0,4.0,0
2008-11-20,30.7692307692,69.2307692308,15.3846153846,15.3846153846,69.2307692308,7995.529785,8187.399901999999,7506.970215,7552.290039,528130000.0,7552.290039,11.0,4.0,0
2008-11-21,71.4285714286,28.5714285714,14.2857142857,57.1428571429,28.5714285714,7552.370117,8071.75,7449.379883,8046.419922,569010000.0,8046.419922,11.0,4.0,1
2008-11-24,45.4545454545,54.5454545455,0.0,45.4545454545,54.5454545455,8048.089844,8599.019531,8048.089844,8443.389648,491890000.0,8443.389648,11.0,4.0,1
2008-11-25,27.7777777778,72.2222222222,5.55555555556,22.2222222222,72.2222222222,8445.139648,8607.379883,8281.459961,8479.469727,374020000.0,8479.469727,11.0,4.0,1
2008-11-26,40.0,60.0,20.0,20.0,60.0,8464.490234,8726.610352,8311.169922,8726.610352,283920000.0,8726.610352,11.0,4.0,1
2008-11-28,57.1428571429,42.8571428571,28.5714285714,28.5714285714,42.8571428571,8724.700195,8831.349609,8672.69043,8829.040039,155510000.0,8829.040039,11.0,4.0,1
2008-12-01,28.5714285714,71.4285714286,0.0,28.5714285714,71.4285714286,8826.889648,8827.049805,8141.359863,8149.089844,321010000.0,8149.089844,12.0,4.0,0
2008-12-02,30.7692307692,69.2307692308,7.692307692310001,23.0769230769,69.2307692308,8153.75,8437.169922,8143.509765999999,8419.089844,307520000.0,8419.089844,12.0,4.0,1
2008-12-03,28.5714285714,71.4285714286,4.7619047619,23.809523809499996,71.4285714286,8409.139648,8624.19043,8234.150391,8591.69043,294680000.0,8591.69043,12.0,4.0,1
2008-12-04,41.6666666667,58.3333333333,8.333333333330001,33.3333333333,58.3333333333,8587.070312,8631.990234,8259.400391,8376.240234,280880000.0,8376.240234,12.0,4.0,0
2008-12-05,42.8571428571,57.1428571429,7.1428571428600005,35.7142857143,57.1428571429,8376.080078,8686.469727,8118.5,8635.419922,346370000.0,8635.419922,12.0,4.0,1
2008-12-08,45.4545454545,54.5454545455,18.1818181818,27.2727272727,54.5454545455,8637.650391,9026.410156,8637.490234,8934.179688,358970000.0,8934.179688,12.0,4.0,1
2008-12-09,41.176470588200004,58.8235294118,23.529411764699997,17.6470588235,58.8235294118,8934.099609,8934.099609,8651.740234,8691.330078,284950000.0,8691.330078,12.0,4.0,0
2008-12-10,58.3333333333,41.6666666667,16.6666666667,41.6666666667,41.6666666667,8693.0,8879.219727,8646.330078,8761.419922,232830000.0,8761.419922,12.0,4.0,1
2008-12-11,43.75,56.25,18.75,25.0,56.25,8750.129883,8809.450195,8512.759766,8565.089844,290540000.0,8565.089844,12.0,4.0,0
2008-12-12,35.7142857143,64.2857142857,7.1428571428600005,28.5714285714,64.2857142857,8563.099609,8682.570312,8347.80957,8629.679688,271030000.0,8629.679688,12.0,4.0,1
2008-12-15,22.2222222222,77.7777777778,11.1111111111,11.1111111111,77.7777777778,8628.80957,8676.280273,8469.030273,8564.530273,229940000.0,8564.530273,12.0,4.0,0
2008-12-16,50.0,50.0,16.6666666667,33.3333333333,50.0,8565.650391,8958.790039,8565.650391,8924.139648,337190000.0,8924.139648,12.0,4.0,1
2008-12-17,54.5454545455,45.4545454545,9.090909090910001,45.4545454545,45.4545454545,8921.910156,8961.259766,8778.070312,8824.339844,239260000.0,8824.339844,12.0,4.0,0
